source_path,symbol,line_start,line_end,evidence_type,confidence,notes
src/pages/AdminEmperor.tsx,AdminEmperor,1,370,SOURCE_EXPLICIT,high,Read-only dashboard with 5 sections
src/pages/AdminEmperor.tsx,bigCounters,100,130,SOURCE_EXPLICIT,high,8 counter cards
src/pages/AdminEmperor.tsx,conversionThresholds,259,265,SOURCE_EXPLICIT,high,5%/2% thresholds
src/pages/AdminEmperor.tsx,retentionThresholds,303,309,SOURCE_EXPLICIT,high,40%/20% thresholds
src/pages/AdminEmperor.tsx,activationTargets,329,356,SOURCE_EXPLICIT,high,200/50/500 targets
src/pages/AdminEliteLeads.tsx,AdminEliteLeads,1,144,SOURCE_EXPLICIT,high,Elite lead management
src/pages/AdminEliteLeads.tsx,InquiryItem,19,23,SOURCE_EXPLICIT,high,Data model with isEliteLead
src/pages/AdminEliteLeads.tsx,markMutation,29,56,SOURCE_EXPLICIT,high,PATCH toggle elite
src/pages/AdminMatchmaking.tsx,AdminMatchmaking,1,138,SOURCE_EXPLICIT,high,Request↔project matching
src/pages/AdminMatchmaking.tsx,projectTypeLabels,27,31,SOURCE_EXPLICIT,high,residential/commercial/mixed
src/pages/AdminMembership.tsx,AdminMembership,1,544,SOURCE_EXPLICIT,high,14 API endpoints NO AUTH
src/pages/AdminMembership.tsx,NO_AUTH,90,99,SOURCE_EXPLICIT,critical,Only useAuth() token - no role check
src/pages/AdminMembership.tsx,extendDays,385,385,SOURCE_EXPLICIT,high,Hardcoded 30 days
src/pages/AdminMembership.tsx,fallbackAmount,385,385,SOURCE_EXPLICIT,high,100 SAR fallback
src/pages/AdminMembership.tsx,tierOptions,427,429,SOURCE_EXPLICIT,high,basic/premium/full
src/hooks/useSmartLanding.ts,useSmartLanding,1,190,SOURCE_EXPLICIT,high,URL param parsing + geo context
src/hooks/useSmartLanding.ts,CAT_ALIASES,30,65,SOURCE_EXPLICIT,high,10 categories 26 aliases
src/hooks/useSmartLanding.ts,CITY_MAP,67,95,SOURCE_EXPLICIT,high,20 cities 7 countries
src/hooks/useSmartLanding.ts,analyticsTrack,155,175,SOURCE_EXPLICIT,high,POST /api/analytics/track
src/components/SmartLandingBanner.tsx,BANNER_CONFIGS,30,160,SOURCE_EXPLICIT,high,8 category configs
src/components/SmartLandingBanner.tsx,dismissal,164,167,SOURCE_EXPLICIT,high,Session-only dismiss
