file_path,feature,domain,classification,auth_required,api_endpoint,lines,notes
src/pages/About.tsx,About Page,public,L1_UI_ONLY,no,none,283,Static content page
src/pages/AdminActivityLog.tsx,Activity Log,admin,L4_END_TO_END_WIRED,admin role,GET /activity-log,138,Read-only audit trail
src/pages/AdminAds.tsx,Ad Management,admin,L4_END_TO_END_WIRED,admin role,CRUD /ads,1926,Full ad campaign management with approval
src/pages/AdminAnalytics.tsx,Market Analytics,admin,L4_END_TO_END_WIRED,admin role,GET /api/analytics/*,310,Trends + reports + landing entries
src/pages/AdminArtisans.tsx,Artisan Admin,admin,L1_UI_ONLY,NONE,localStorage only,234,No auth guard
src/pages/AdminAuctions.tsx,Auction Admin,admin,L3_PARTIAL_FLOW,token only,GET/PATCH /auctions/admin/*,325,Cancel + block but no role guard
src/pages/AdminBlog.tsx,Blog Admin,admin,L1_UI_ONLY,NONE,localStorage only,247,No auth guard
src/pages/AdminCategories.tsx,Category Admin,admin,L4_END_TO_END_WIRED,NONE,CRUD /api/categories,212,Category CRUD with no auth
src/pages/AdminChat.tsx,Chat Monitor,admin,L4_END_TO_END_WIRED,NONE,chatAdminService,791,Full chat moderation with no auth
src/pages/AdminContent.tsx,Content CMS,admin,L1_UI_ONLY,NONE,localStorage only,212,Static content editor
src/pages/AdminDiscounts.tsx,Coupon Admin,admin,L3_PARTIAL_FLOW,token only,CRUD /coupons,406,No role guard
src/pages/AdminEliteLeads.tsx,Elite Leads,admin,L4_END_TO_END_WIRED,admin role,GET/PATCH /elite-leads,114,Manual elite toggle
src/pages/AdminEmperor.tsx,Emperor Dashboard,admin,L4_END_TO_END_WIRED,admin role,GET /api/admin/emperor,370,Read-only analytics dashboard
src/pages/AdminFreeResources.tsx,Free Resources,admin,L3_PARTIAL_FLOW,NONE,GET/DELETE /free-resources,196,Delete + localStorage mutations
src/pages/AdminLicenseKeys.tsx,License Key Admin,admin,L4_END_TO_END_WIRED,token only,CRUD /admin/license/*,560,Full license lifecycle
src/pages/AdminLookups.tsx,Lookup Admin,admin,L1_UI_ONLY,NONE,localStorage only,451,Dropdown data management
src/pages/AdminMarketRates.tsx,Market Rates,admin,L4_END_TO_END_WIRED,admin role (soft),GET/PUT /api/market-rates,308,Rate editing
src/pages/AdminMatchmaking.tsx,Matchmaking,admin,L4_END_TO_END_WIRED,admin role,GET/POST /api/matchmaking/*,138,Request↔project matching trigger
src/pages/AdminMembership.tsx,Membership Admin,admin,L4_END_TO_END_WIRED,NONE (CRITICAL),CRUD /admin/*,544,14 endpoints with no auth guard
src/pages/AdminModerators.tsx,Moderator Admin,admin,L4_END_TO_END_WIRED,NONE,CRUD /admin/roles + /admin/moderators,681,Role-based access control
