Capability_ID,Domain,Capability_Name,V1_Description,V1_UI_Evidence,V1_API_Evidence,V1_Service_Evidence,V1_DB_Evidence,V1_Permission_Evidence,V1_Runtime_Depth,V1_Implementation_Status,Business_Criticality,Notes
CAP-001,Admin,AdminEmperor,PASS A feature record: AdminEmperor; logic=threshold logic; admin=no; tests=no.,AdminEmperor.tsx:370,yes GET — AdminEmperor.tsx:370,logic=threshold logic,db=yes (read),admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-002,Matching,AdminEliteLeads,PASS A feature record: AdminEliteLeads; logic=no; admin=no; tests=no.,AdminEliteLeads.tsx:144,yes GET+PATCH — AdminEliteLeads.tsx:144,logic=no,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-003,Matching,AdminMatchmaking,PASS A feature record: AdminMatchmaking; logic=matching trigger; admin=no; tests=no.,AdminMatchmaking.tsx:138,yes GET+POST×2 — AdminMatchmaking.tsx:138,logic=matching trigger,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-004,Membership,AdminMembership,PASS A feature record: AdminMembership; logic=rank/badge/subscription mgmt; admin=no (CRITICAL no auth); tests=no.,AdminMembership.tsx:544,yes 14 endpoints — AdminMembership.tsx:544,logic=rank/badge/subscription mgmt,db=yes,admin/guard=no (CRITICAL no auth),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-005,Authorization,AdminActivityLog,PASS A feature record: AdminActivityLog; logic=read-only; admin=no; tests=no.,AdminActivityLog.tsx:138,yes GET — AdminActivityLog.tsx:138,logic=read-only,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-006,Ads,AdminAds,PASS A feature record: AdminAds; logic=approval workflow; admin=no; tests=no.,AdminAds.tsx:1926,yes CRUD+approve/reject — AdminAds.tsx:1926,logic=approval workflow,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-007,Admin,AdminAnalytics,PASS A feature record: AdminAnalytics; logic=report generation; admin=no; tests=no.,AdminAnalytics.tsx:310,yes GET+POST — AdminAnalytics.tsx:310,logic=report generation,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-008,Services,AdminArtisans,PASS A feature record: AdminArtisans; logic=no; admin=NONE; tests=no.,AdminArtisans.tsx:234,no (localStorage) — AdminArtisans.tsx:234,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-009,Auctions,AdminAuctions,PASS A feature record: AdminAuctions; logic=cancel/block only; admin=no role guard; tests=no.,AdminAuctions.tsx:325,yes GET+PATCH — AdminAuctions.tsx:325,logic=cancel/block only,db=yes,admin/guard=no role guard,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-010,Admin,AdminBlog,PASS A feature record: AdminBlog; logic=no; admin=NONE; tests=no.,AdminBlog.tsx:247,no (localStorage) — AdminBlog.tsx:247,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-011,Admin,AdminCategories,PASS A feature record: AdminCategories; logic=CRUD; admin=NONE (no auth); tests=no.,AdminCategories.tsx:212,yes CRUD — AdminCategories.tsx:212,logic=CRUD,db=yes,admin/guard=NONE (no auth),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-012,Chat,AdminChat,PASS A feature record: AdminChat; logic=moderation; admin=NONE (no auth); tests=no.,AdminChat.tsx:791,yes via service — AdminChat.tsx:791,logic=moderation,db=yes,admin/guard=NONE (no auth),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-013,Admin,AdminContent,PASS A feature record: AdminContent; logic=no; admin=NONE; tests=no.,AdminContent.tsx:212,no (localStorage) — AdminContent.tsx:212,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-014,Admin,AdminDiscounts,PASS A feature record: AdminDiscounts; logic=no role guard; admin=token only; tests=no.,AdminDiscounts.tsx:406,yes CRUD — AdminDiscounts.tsx:406,logic=no role guard,db=yes,admin/guard=token only,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-015,Admin,AdminFreeResources,PASS A feature record: AdminFreeResources; logic=delete + localStorage; admin=NONE; tests=no.,AdminFreeResources.tsx:196,yes GET+DELETE — AdminFreeResources.tsx:196,logic=delete + localStorage,db=yes,admin/guard=NONE,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-016,Office Integration,AdminLicenseKeys,PASS A feature record: AdminLicenseKeys; logic=HWID lifecycle; admin=token only; tests=no.,AdminLicenseKeys.tsx:560,yes CRUD — AdminLicenseKeys.tsx:560,logic=HWID lifecycle,db=yes,admin/guard=token only,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-017,Admin,AdminLookups,PASS A feature record: AdminLookups; logic=no; admin=NONE; tests=no.,AdminLookups.tsx:451,no (localStorage) — AdminLookups.tsx:451,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-018,Admin,AdminMarketRates,PASS A feature record: AdminMarketRates; logic=rate editing; admin=admin (soft useEffect); tests=no.,AdminMarketRates.tsx:308,yes GET+PUT — AdminMarketRates.tsx:308,logic=rate editing,db=yes,admin/guard=admin (soft useEffect),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-019,Authorization,AdminModerators,PASS A feature record: AdminModerators; logic=role management; admin=NONE (no auth); tests=no.,AdminModerators.tsx:681,yes CRUD — AdminModerators.tsx:681,logic=role management,db=yes,admin/guard=NONE (no auth),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-020,Admin,AdminNewsTicker,PASS A feature record: AdminNewsTicker; logic=ticker CRUD; admin=NONE (no auth); tests=no.,AdminNewsTicker.tsx:422,yes CRUD — AdminNewsTicker.tsx:422,logic=ticker CRUD,db=yes,admin/guard=NONE (no auth),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
