Capability_ID,Domain,Capability,V1_Status,Current_Status,Parity_Result,V1_Evidence,Current_Evidence,Runtime_Evidence,Severity,Launch_Blocker,Recommended_Action,Notes
CAP-001,Admin,AdminEmperor,L4_END_TO_END_WIRED,NOT_ESTABLISHED,LOST,AdminEmperor.tsx:370,No reliable current equivalent located,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P2,NO,Restore or formally defer in PASS C.,"No current AdminEmperor symbol, page, or route found."
CAP-002,Matching,AdminEliteLeads,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,LOST,AdminEliteLeads.tsx:144,lib/db/schemas/leads-schema.ts; lib/services/leads/lead.service.ts; app/api/contact/route.ts,No V1 developer-project matchmaking or elite-lead runtime route found; service-provider matching is a different capability.,P1,NO,Restore or formally defer in PASS C.,No current isEliteLead or leadScore field/route found; service leads are not equivalent.
CAP-003,Matching,AdminMatchmaking,L4_END_TO_END_WIRED,NOT_ESTABLISHED,LOST,AdminMatchmaking.tsx:138,No reliable current equivalent located,No V1 developer-project matchmaking or elite-lead runtime route found; service-provider matching is a different capability.,P1,NO,Restore or formally defer in PASS C.,No current developer-project matchmaking stats/run/run-all surface found.
CAP-004,Membership,AdminMembership,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,REGRESSED,AdminMembership.tsx:544,lib/amrs/events.ts; lib/amrs/workspace.ts; lib/amrs/organization.ts; app/dashboard/offices/page.tsx,No authenticated plan/promo/license lifecycle test performed.,P1,NO,Restore or formally defer in PASS C.,"V1 combined rank, badge, trial, promo, override and subscription controls; no equivalent consolidated capability found."
CAP-005,Authorization,AdminActivityLog,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminActivityLog.tsx:138,lib/logging/logger.ts; lib/security/dev-login.ts; src/components/ui/Dialog.tsx; lib/amrs/contracts/activity.ts,Runtime: unauthenticated /api/admin/stats=403 and /api/admin/roles=401; privileged positive path not tested.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-006,Ads,AdminAds,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminAds.tsx:1926,lib/integration/ads.ts; src/components/AdSlot.tsx; lib/db/schemas/leads-schema.ts; app/admin/ads/ads-admin-client.tsx,Runtime: POST /api/ads/match with global_header/home/SA returned 200 and a matched creative; legacy GET /api/advertising/match returned 500.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-007,Admin,AdminAnalytics,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminAnalytics.tsx:310,lib/news/analytics.ts; app/api/news/analytics/route.ts; app/api/admin/analytics/route.ts; app/api/service-analytics/route.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-008,Services,AdminArtisans,L1_UI_ONLY,RUNTIME_CERTIFIED,IMPROVED,AdminArtisans.tsx:234,app/admin/services/*; app/api/service-providers/[id]/status/route.ts,"PASS C.S.1B production 3014: provider application hidden before approval; Provider/Customer self-approval 403; Moderator approval 200; approved provider became publicly visible.",P1,NO,Retain certification evidence and regression-test.,"Current admin approval and public-visibility lifecycle exceeds the V1 UI-only evidence."
CAP-009,Auctions,AdminAuctions,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminAuctions.tsx:325,lib/db/schemas/auctions-schema.ts; app/auctions/page.tsx; lib/auctions/policy.ts; app/api/auctions/route.ts,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-010,Admin,AdminBlog,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminBlog.tsx:247,src/data/translations.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-011,Admin,AdminCategories,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminCategories.tsx:212,app/services/categories/page.tsx; app/api/service-categories/route.ts; app/api/services/categories/route.ts; app/api/service-categories/[id]/route.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-012,Chat,AdminChat,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminChat.tsx:791,lib/services-marketplace-schema.ts,Runtime: unauthenticated /api/messages=401; no two-user send/read/realtime test performed.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-013,Admin,AdminContent,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminContent.tsx:212,lib/content-schema.ts; src/content/legal-center.ts; src/content/public-destinations.ts; app/page.tsx,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-014,Admin,AdminDiscounts,L3_PARTIAL_FLOW,NOT_ESTABLISHED,NEEDS_RUNTIME_PROOF,AdminDiscounts.tsx:406,No reliable current equivalent located,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,No reliable equivalent was established; retained as unknown rather than declaring LOST without direct proof.
