action_id,page,component,label_ar,label_en,actor,action,precondition,api,database_effect,notification_effect,permission,next_state,next_screen,evidence
AUTH_001,Login,LoginForm,تسجيل الدخول,Login,guest,submit,form valid,POST /api/auth/login,JWT token,none,ALLOW,authenticated,redirect to dashboard,Login.tsx
AUTH_002,Register,RegisterForm,تسجيل,Register,guest,submit,form valid + zod,POST /api/auth/register,user created,verification email,ALLOW,authenticated,redirect to verify,Register.tsx
AUTH_003,JoinFounders,JoinForm,انضم كمؤسس,Join as Founder,guest,submit,form valid + pledge,POST /api/auth/register,user created,none,ALLOW,authenticated,success screen,JoinFounders.tsx
AUTH_004,ResetPassword,ResetForm,إعادة تعيين,Reset,guest,submit,token valid,POST /api/reset-password,password updated,none,ALLOW,login page,redirect,ResetPassword.tsx
AUTH_005,VerifyEmail,VerifyEmail,تحقق من البريد,Verify,guest,auto,token in URL,POST /api/verify,email verified,none,ALLOW,dashboard,redirect,VerifyEmail.tsx
PROP_001,SubmitProperty,PropertyForm,نشر عقار,Submit Property,user,submit,auth + form,POST /api/properties,property created (pending),admin notification,ALLOW,my properties,dashboard,SubmitProperty.tsx
PROP_002,Properties,SaveSearchButton,حفظ البحث,Save Search,user,click,auth + has filters,POST /saved-searches,search saved,none,ALLOW,saved searches,dashboard,SaveSearchButton.tsx
PROP_003,PropertyDetail,InquiryForm,استفسار,Inquire,user,submit,auth,POST /inquiries,inquiry created,office notification,ALLOW,inbox,none,PropertyDetail.tsx
PROP_004,PropertyDetail,ShareModal,مشاركة,Share,any,click,none,clipboard/share API,none,none,ALLOW,copied/shared,none,ShareModal.tsx
PROP_005,ModeratorPanel,ApproveButton,موافقة,Approve,moderator,click,auth + role,POST /api/properties/:id/approve,status→approved,owner notification,MODERATOR,approved,list,ModeratorPanel.tsx
PROP_006,ModeratorPanel,RejectButton,رفض,Reject,moderator,click,auth + role,POST /api/properties/:id/reject,status→rejected,owner notification,MODERATOR,rejected,list,ModeratorPanel.tsx
AUCT_001,AuctionDetail,BidForm,زايد,Bid,user,submit,auth + auction active,POST /api/auctions/:id/bid,bid created,auction update,ALLOW,bid list,none,AuctionDetail.tsx
AUCT_002,AuctionDetail,JoinButton,انضم للزايدة,Join Auction,user,click,auth,PATCH /api/auctions/:id/join,participant added,none,ALLOW,joined,none,AuctionDetail.tsx
AUCT_003,AuctionDetail,ReportButton,إبلاغ,Report,user,click,auth,POST /api/auctions/:id/report,report created,admin notification,ALLOW,reported,none,AuctionDetail.tsx
AUCT_004,DashboardAuctions,CreateAuction,إنشاء مزاد,Create Auction,user,submit,auth + office,POST /api/auctions,auction created,none,ALLOW,my auctions,dashboard,DashboardAuctions.tsx
AUCT_005,DashboardAuctions,CancelAuction,إلغاء مزاد,Cancel Auction,owner,click,auth + ownership,PATCH /api/auctions/:id/cancel,status→cancelled,none,OWNER,cancelled,dashboard,DashboardAuctions.tsx
AUCT_006,AuctionDetail,AutoBid,زايد تلقائي,Auto Bid,user,click,auth + auction active,POST /api/auctions/:id/auto-bid,auto-bid enabled,none,ALLOW,enabled,none,AutoBidToggle.tsx
AUCT_007,DashboardAuctions,SaleProof,إثبات البيع,Proof of Sale,owner,submit,auth + sold,POST /api/auctions/:id/proof,proof uploaded,admin review,ALLOW,pending review,dashboard,SaleProofForm.tsx
TEND_001,TenderCreate,TenderForm,إنشاء مناقصة,Create Tender,user,submit,auth,POST /api/tenders,tender created,matching artisans,TENDER,tender detail,none,TenderCreate.tsx
TEND_002,TenderDetail,BidForm,تقديم عرض,Submit Bid,artisan,submit,auth,POST /api/tenders/:id/bid,bid created,tender owner,TENDER,bid list,none,TenderDetail.tsx
TEND_003,TenderDetail,AwardButton,منح المناقصة,Award Tender,owner,click,auth + ownership,POST /api/tenders/:id/award,status→awarded,bidder notified,OWNER,awarded,dashboard,TenderDetail.tsx
TEND_004,TenderDetail,CloseButton,إغلاق المناقصة,Close Tender,owner,click,auth + ownership,POST /api/tenders/:id/close,status→closed,none,OWNER,closed,dashboard,TenderDetail.tsx
CHAT_001,Messages,ChatInput,إرسال رسالة,Send Message,auth,submit,auth + conversation,WS send_message,message stored,recipient push,ALLOW,message bubble,none,ChatInput.tsx
CHAT_002,Messages,VoiceRecorder,رسالة صوتية,Voice Message,auth,record + send,auth + conversation,WS send_voice,audio stored,recipient push,ALLOW,message bubble,none,VoiceRecorder.tsx
CHAT_003,Messages,BlockUser,حظر المستخدم,Block,auth,click,auth,WS block_user,blocked,none,ALLOW,blocked,none,ChatContext.tsx
