feature_id,domain,feature,subfeature,v1_status,v1_evidence,current_status,current_evidence,desktop_status,security_status,test_status,decision,priority,recommended_phase,notes
F001,Auth,Registration,Individual,FULL,Register.tsx,FULL,app/register/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Standard registration
F002,Auth,Registration,Professional,FULL,Register.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,1,Professional registration
F003,Auth,Registration,Company,FULL,Register.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,1,Company registration
F004,Auth,Login,Email/Password,FULL,Login.tsx,FULL,app/login/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Standard login
F005,Auth,Login,Social Login,MISSING,N/A,FULL,app/login/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP_AND_IMPROVE,LOW,1,Google + Facebook OAuth
F006,Auth,Password,Reset,FULL,ForgotPassword.tsx,FULL,app/forgot-password/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Email-based reset
F007,Auth,Email,Verification,FULL,VerifyEmail.tsx,FULL,app/verify-email/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Token-based verification
F008,Auth,Profile,Editing,FULL,DashboardProfile.tsx,FULL,app/dashboard/profile/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Profile management
F009,Auth,Profile,Portfolio,FULL,api/profile.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,2,Portfolio image upload
F010,Auth,Identity,Verification,FULL,AdminVerification.tsx,PARTIAL,verification_challenges table,N/A,SAFE,PARTIAL,KEEP_AND_IMPROVE,HIGH,2,KYC verification
F011,Auth,Roles,User,Moderator/Admin,FULL,AuthContext.tsx,FULL,src/constants/roles.ts,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Role-based access
F012,Auth,Moderators,Assignment,FULL,moderators table,PARTIAL,role field on users,N/A,SAFE,PARTIAL,MERGE_INTO_NEW_CORE,HIGH,2,Moderator management
F013,Auth,Banning,User Ban,FULL,AdminUsers.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,User banning workflow
F014,Auth,Security,IP Blocking,FULL,blocked_ips table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,IP-based blocking
F015,Auth,Security,Login Tracking,FULL,login_attempts table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Brute force protection
F016,Auth,Activity,Logging,FULL,activity_logs table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Audit trail
F017,Property,CRUD,Create,Submit,FULL,SubmitProperty.tsx,FULL,app/dashboard/properties/new/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property creation
F018,Property,CRUD,Edit,Update,FULL,Dashboard.tsx,FULL,app/dashboard/properties/[id]/edit/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property editing
F019,Property,CRUD,Delete,FULL,api/properties.ts,FULL,api/properties/[id]/route.ts,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property deletion
F020,Property,Images,Upload,FULL,SubmitProperty.tsx,FULL,property_media table,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Image upload
F021,Property,Featured,Toggle,FULL,api/properties.ts,FULL,properties.is_featured,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Featured properties
F022,Property,Search,Text,Category,Type,City,Price,FULL,Properties.tsx,FULL,app/properties/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property search
F023,Property,Requests,Create,FULL,MyPropertyRequests.tsx,FULL,app/dashboard/properties/property-requests/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property requests
F024,Property,Requests,Offers,FULL,api/property-requests.ts,FULL,property_request_offers table,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property offers
F025,Property,Favorites,Add/Remove,FULL,useFavorites.ts,FULL,property_favorites table,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property favorites
F026,Property,Saved Searches,Create,Alert,FULL,api/property-requests.ts,FULL,saved_searches table,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Saved searches
F027,Property,Elite Leads,Flagging,FULL,AdminEliteLeads.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,High-value leads
F028,Property,Bookings,Viewing,FULL,bookings table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Property viewings
F029,Property,Notifications,City-Matched,FULL,server-side,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Auto notifications
F030,Auction,Fixed Price,Auction,FULL,AuctionDetail.tsx,FULL,app/auctions/[id]/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Fixed auctions
F031,Auction,Open,Auction,FULL,AuctionDetail.tsx,FULL,app/auctions/[id]/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Open auctions
F032,Auction,Bidding,Place Bid,FULL,api/auctions.ts,FULL,api/auctions/[id]/route.ts,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Bid placement
F033,Auction,Bidding,Auto-Bid,FULL,api/auctions.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Auto-bidding
F034,Auction,Fraud,Suspicious Relist,FULL,suspicious_relsits table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,CRITICAL,2,Fraud detection
F035,Auction,Fraud,Early Warning,FULL,early_warnings table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Proactive alerts
