file_path,feature,domain,classification,lines,parent_component,notes
src/components/AccountSwitcher.tsx,Account Switcher,identity,L4_END_TO_END_WIRED,68,root,Personal↔Company switch via CompanyContext
src/components/AdBanner.tsx,Ad Banner,advertising,L3_PARTIAL_FLOW,0,root,Ad display component
src/components/AdSlot.tsx,Ad Slot,advertising,L3_PARTIAL_FLOW,0,root,Ad slot wrapper
src/components/AuthGate.tsx,Auth Gate,auth,L4_END_TO_END_WIRED,0,root,Conditional render by auth state
src/components/BlogCard.tsx,Blog Card,content,L1_UI_ONLY,0,root,Blog post card display
src/components/EliteBadge.tsx,Elite Badge,identity,L2_DATA_MODEL_ONLY,53,root,Only phd+engineer titles render (2 of claimed 8)
src/components/ErrorBoundary.tsx,Error Boundary,ui,L4_END_TO_END_WIRED,0,root,React error boundary
src/components/ForgotPasswordModal.tsx,Forgot Password,auth,L3_PARTIAL_FLOW,0,root,Password reset modal
src/components/GeoAdBanner.tsx,Geo Ad Banner,advertising,L4_END_TO_END_WIRED,135,root,Geo-targeted ad display with tier styling
src/components/HeroAdsBanner.tsx,Hero Ads Banner,advertising,L3_PARTIAL_FLOW,0,root,Hero section ad
src/components/HeroSection.tsx,Hero Section,public,L1_UI_ONLY,0,root,Homepage hero
src/components/HeroSectionAd.tsx,Hero Section Ad,advertising,L1_UI_ONLY,0,root,Hero ad variant
src/components/HeroSlideshow.tsx,Hero Slideshow,public,L3_PARTIAL_FLOW,0,root,Image slideshow
src/components/InstallPWA.tsx,PWA Install,public,L3_PARTIAL_FLOW,0,root,Install prompt
src/components/InvestmentGauge.tsx,Investment Gauge,property,L4_END_TO_END_WIRED,80,root,Investment scoring gauge (base 50 + modifiers)
src/components/LocationPicker.tsx,Location Picker,geo,L4_END_TO_END_WIRED,0,root,Country/gov/city selection
src/components/LoginForm.tsx,Login Form,auth,L4_END_TO_END_WIRED,0,root,Login form with API
src/components/MapMyDeed.tsx,Map My Deed,engineering,L4_END_TO_END_WIRED,595,root,OCR deed→UTM→WGS84→Leaflet polygon
src/components/MobileStickyContact.tsx,Mobile Sticky Contact,ui,L1_UI_ONLY,0,root,Mobile CTA bar
src/components/MortgageCalculator.tsx,Mortgage Calculator,property,L4_END_TO_END_WIRED,116,root,PMT formula (duplicated in PropertyFinanceTools)
src/components/NotificationPermissionBanner.tsx,Notification Banner,notification,L3_PARTIAL_FLOW,0,root,Push permission request
src/components/OfficeCard.tsx,Office Card,office,L1_UI_ONLY,0,root,Office display card
src/components/PageHeroBanner.tsx,Page Hero Banner,public,L1_UI_ONLY,0,root,Page hero banner
src/components/PageHeroGallery.tsx,Page Hero Gallery,public,L1_UI_ONLY,0,root,Image gallery
src/components/PageHeroSlideshow.tsx,Page Hero Slideshow,public,L3_PARTIAL_FLOW,0,root,Slideshow with data
src/components/PageWithAds.tsx,Page With Ads,advertising,L4_END_TO_END_WIRED,0,root,Ad slot injection wrapper
src/components/PropertyAdBanner.tsx,Property Ad Banner,advertising,L3_PARTIAL_FLOW,0,root,Property page ad
src/components/PropertyCard.tsx,Property Card,property,L1_UI_ONLY,0,root,Property display card
src/components/PropertyFinanceTools.tsx,Property Finance Tools,property,L4_END_TO_END_WIRED,255,root,3-tab: Mortgage + Flexible + Fixed
src/components/PropertyListingForm.tsx,Property Listing Form,property,L4_END_TO_END_WIRED,0,root,Property creation form
src/components/ProtectedRoute.tsx,Protected Route,auth,L4_END_TO_END_WIRED,0,root,Route guard by auth
src/components/RichTextEditor.tsx,Rich Text Editor,ui,L1_UI_ONLY,0,root,Content editor
src/components/RotatingAd.tsx,Rotating Ad,advertising,L3_PARTIAL_FLOW,0,root,Ad rotation display
src/components/SaveSearchButton.tsx,Save Search Button,property,L4_END_TO_END_WIRED,116,root,POST /saved-searches with dialog
src/components/SectionErrorBoundary.tsx,Section Error Boundary,ui,L4_END_TO_END_WIRED,0,root,Section-level error boundary
src/components/SeoHead.tsx,SEO Head,seo,L4_END_TO_END_WIRED,0,root,Meta tag injection
src/components/ShareButton.tsx,Share Button,sharing,L4_END_TO_END_WIRED,70,root,Web Share API + clipboard
src/components/ShareModal.tsx,Share Modal,sharing,L4_END_TO_END_WIRED,131,root,WA/FB/X/TG share channels
src/components/SmartLandingBanner.tsx,Smart Landing Banner,marketing,L4_END_TO_END_WIRED,279,root,Category-targeted CTA banner
src/components/ThemeToggle.tsx,Theme Toggle,ui,L2_DATA_MODEL_ONLY,0,root,Dark/light switch
src/components/UnifiedInbox.tsx,Unified Inbox,service,L4_END_TO_END_WIRED,516,root,4-type inbox (chat/appt/quote/inquiry)
src/components/WelcomeBanner.tsx,Welcome Banner,ui,L1_UI_ONLY,0,root,First-visit banner
src/components/arch/AcademicSpecialtyEngine.tsx,Academic Specialty Engine,engineering,L4_END_TO_END_WIRED,566,arch,ISO 11428 sightlines + Sabine RT60
src/components/arch/BankingSecurityEngine.tsx,Banking Security Engine,engineering,L4_END_TO_END_WIRED,569,arch,Vault/ballistic/seismic calcs
src/components/arch/BilingualPDFContract.tsx,Bilingual PDF Contract,engineering,L3_PARTIAL_FLOW,388,arch,Print-ready bilingual contract
src/components/arch/BIMViewer.tsx,BIM Viewer,engineering,L4_END_TO_END_WIRED,323,arch,Three.js 3D BIM from DXF
src/components/arch/BOQEngine.tsx,BOQ Engine,engineering,L4_END_TO_END_WIRED,643,arch,Full bill of quantities
