feature_id,source_generation,domain,feature,subfeature,v1_depth,v1_status,old_status,current_status,office_status,ui_status,api_status,db_status,authorization_status,realtime_status,notification_status,test_status,decision,priority,target_phase,regression_risk,v1_evidence,old_evidence,current_evidence,office_evidence,notes
AUTH-001,ROUND-1 (V2 lineage),A,Registration,"Normal user, email + password",NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,FULL,NOT APPLICABLE,OK app/register/page.tsx:1-466,OK,lib/db/schema.ts:3-25,public,none,verification email app/api/auth/register/route.ts:206-215,tests/auth-phase4.test.mjs (in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,hist/old-tag/app/api/auth/register/route.ts:37-134,app/api/auth/register/route.ts:49-245; app/register/page.tsx:73-140,none,"Public signup creating a users row with role user, status pending_verification || admin: none"
AUTH-002,ROUND-1 (V2 lineage),A,Registration,Phone-only signup,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,PARTIAL,NOT APPLICABLE,"MISSING (register page sends email only, app/register/page.tsx:100-105)",OK,users.phone_verified_at never written,public,none,none,NONE,KEEP + IMPROVE,P2,Phase 3,Med,not assessed in round 1,hist/old-tag/app/api/auth/register/route.ts:14-24,"app/api/auth/register/route.ts:30-41,178 (requiresVerification = Boolean(email))",none,Register with phone instead of email; no verification channel exists for SMS || admin: none
AUTH-003,ROUND-1 (V2 lineage),A,Registration,Client-supplied role rejected,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,BETTER THAN OLD,NOT APPLICABLE,n/a,OK,n/a,enforced,none,none,tests/auth-core.test.ts (NOT in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,"hist/old-tag/app/api/auth/register/route.ts:98 (hardcoded ""user"")",lib/auth/access-control.ts:39-61; app/api/auth/register/route.ts:118,none,Role is hard-pinned to user; privileged roles cannot be self-assigned || admin: none
AUTH-004,ROUND-1 (V2 lineage),A,Registration,Auto-login after signup,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,SUPERSEDED (intentional),NOT APPLICABLE,n/a,OK,n/a,n/a,none,none,NONE,SUPERSEDED WITH FULL PARITY,P3,Phase 1,Low,not assessed in round 1,hist/old-tag/app/api/auth/register/route.ts:118 (createSession),app/api/auth/register/route.ts:227-245 — no createSession,none,Old issued a session cookie immediately on register; current requires email verification first || admin: none
AUTH-005,ROUND-1 (V2 lineage),A,Registration,Invite token,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,OLD SOURCE REQUIRED,BROKEN (dead input),NOT APPLICABLE,dead,MISSING,MISSING,n/a,none,none,NONE,OLD SOURCE REQUIRED,P2,Phase 3,Med,not assessed in round 1,none found,"app/register/page.tsx:35,45 (read, never posted); no invite handling in app/api/auth/register/route.ts",none,Register page reads ?invite= and stores it in form state but never sends it; no server-side invite concept || admin: none
AUTH-006,ROUND-1 (V2 lineage),A,Registration,Craftsman / service-provider account,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,OLD SOURCE REQUIRED,FULL,NOT APPLICABLE,OK,OK,"service_provider_profiles (services DB, not PG users)",SERVICE_PROVIDERS_REVIEW,none,service_notifications,tests/services-authz.test.mjs,KEEP,P1,Phase 2,Med,not assessed in round 1,none found in hist/old-* (no services marketplace),app/providers/apply/page.tsx:41 → /dashboard/services/provider-profile; app/api/service-providers/[id]/apply/route.ts; lib/services-marketplace-schema.ts:91-134,none,"Becoming a provider = creating a service_provider_profiles row keyed by e-mail, then admin approval || admin: app/api/service-providers/[id]/status/route.ts:14-46"
AUTH-007,ROUND-1 (V2 lineage),A,Registration,Office account (real_estate / law_office org),NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL (sponsor profile ≈ office),PARTIAL,REFERENCE ONLY,**MISSING — no UI anywhere POSTs /api/amrs/organizations** (grep: only GET callers),OK,"organizations, organization_members lib/db/schema.ts:93-152",session + membership,none,none,tests/organizations-hardening-f1.test.mjs (NOT in npm test),FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,hist/old-tag/lib/runtime-db.ts:213-241 (sponsor_profiles),app/api/amrs/organizations/route.ts:85-152; lib/amrs/organization.ts:80-140,AkarDB.sqlite Settings.OfficeName/CRNumber/TaxNumber,Org of type real_estate/law_office with owner membership || admin: app/api/admin/organizations/[id]/review/route.ts:20-95
AUTH-008,ROUND-1 (V2 lineage),A,Registration,Company account (business / other org),NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,PARTIAL,NOT APPLICABLE,**MISSING (no create UI)**,OK,same tables,session + membership,none,none,tests/organizations-workspace-f3.test.mjs (NOT in npm test),FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,hist/old-tag/app/api/sponsor-profiles/route.ts,lib/amrs/workspace.ts:167-170; app/api/amrs/organizations/route.ts:14,none,Same organizations row with type business/other || admin: app/api/admin/organizations/[id]/review/route.ts
AUTH-009,ROUND-1 (V2 lineage),A,Registration,Advertiser / sponsor account,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,"PARTIAL — plans / subscriptions / invoices / payments / documents / activity APIs deleted, tables retained",NOT APPLICABLE,partial,PARTIAL,"tables present, no readers",permission-gated,none,none,NONE,RESTORE,P1,Phase 2,High,not assessed in round 1,"hist/old-tag/app/api/sponsor-profiles/route.ts, sponsor-users/route.ts:36-110, sponsor-branches, sponsor-plans, sponsor-subscriptions, sponsor-contracts, sponsor-documents, sponsor-invoices, sponsor-payments, sponsor-activity","app/api/advertiser-profiles/route.ts, app/api/advertiser-users/route.ts, app/api/advertiser-branches/route.ts, app/api/contracts/route.ts; tables still created lib/content-schema.ts:209-405",none,"Advertiser org record with users, branches, plans, contracts || admin: app/admin/advertisers/page.tsx"
AUTH-010,ROUND-1 (V2 lineage),A,Email activation,Token link,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,app/verify-email/page.tsx,OK,verification_challenges lib/db/schema.ts:35-59,rate-limited,none,welcome email verification-actions.ts:78-86,tests/auth-phase4.test.mjs,KEEP,P0,Phase 1,Low,not assessed in round 1,none found (old had no email verification),"lib/auth/verification.ts:4-8,59-98; lib/auth/verification-actions.ts:35-88; app/api/auth/verify-email/route.ts:24-116",none,"32-byte token, SHA-256 hashed, 24 h TTL, single-use; sets status=active, email_verified_at || admin: none"
AUTH-011,ROUND-1 (V2 lineage),A,Email activation,Resend,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,OK,OK,OK,rate limit 3/min,none,email,tests/auth-phase4.test.mjs,KEEP,P1,Phase 1,Low,not assessed in round 1,none found,lib/auth/verification-actions.ts:90-133; app/api/auth/verify-email/resend/route.ts:21-68,none,Revokes prior challenges and re-issues a token || admin: none
AUTH-012,ROUND-1 (V2 lineage),A,Email activation,Legacy MySQL signup-OTP endpoint,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL (old MySQL path),BROKEN / DEAD DUPLICATE,NOT APPLICABLE,none,present,MySQL db/mysql/schema.ts,rate-limited,none,none,NONE,MERGE INTO NEW SYSTEM,P1,Phase 1,Med,not assessed in round 1,hist/old-tag/app/api/auth/verify/route.ts,"app/api/auth/verify/route.ts:1-114 (MySQL, purpose ""signup"", line 68) vs PG writer purpose email_verification (app/api/auth/register/route.ts:184)",none,/api/auth/verify validates a 6-digit code against MySQL verification_challenges with purpose signup — a purpose no writer ever produces || admin: none
AUTH-013,ROUND-1 (V2 lineage),A,OTP,Email-change OTP,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,app/verify-otp/page.tsx,OK,OK,session + rate limit,none,email,tests/auth-phase4.test.mjs,KEEP,P1,Phase 1,Low,not assessed in round 1,none found,"lib/auth/verification.ts:6-8,100-113; lib/auth/verification-actions.ts:240-345; app/api/auth/verify-otp/route.ts:17-88",none,"6-digit code, 10 min TTL, 5 attempts, hashed || admin: none"
AUTH-014,ROUND-1 (V2 lineage),A,2FA,TOTP / otplib login second factor,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,none,none,MISSING,"MISSING (dependency only, INTENDED ONLY)",NOT APPLICABLE,MISSING,MISSING,MISSING,n/a,none,none,NONE,OLD SOURCE REQUIRED,P2,not assessed in round 1,ref/akarpromax-auth-current/package.json:43 (same unused dep),"package.json:44,51; grep otplib",totp,otplib + qrcode.react are direct dependencies but there is ZERO TOTP code in the tree || admin: twoFactor over app/ lib/ src/ components/ returns only a comment at app/api/auth/login/route.ts:183
AUTH-015,ROUND-1 (V2 lineage),A,Welcome,Welcome email + welcome_sent_at,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL,NOT APPLICABLE,n/a,OK,column unused,n/a,none,email,NONE,FIX REGRESSION,P3,Phase 3,Low,not assessed in round 1,none found,"column lib/db/schema.ts:17, lib/db/pg-identity-schema.ts:77; sender lib/auth/verification-actions.ts:78-86; grep welcomeSentAt → no writer",none,"Welcome mail is sent on activation, but the welcome_sent_at column is never written, so re-activation can re-send || admin: none"
AUTH-016,ROUND-1 (V2 lineage),A,First-login onboarding,Wizard flow,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL,NOT APPLICABLE,OK,OK,users.onboarding_completed_at,session,none,none,tests/auth-phase4.test.mjs,KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,none found,app/onboarding/page.tsx:17-258; app/api/auth/onboarding/complete/route.ts:15-48,none,"2-step wizard: account-type choice + profile form, then POST complete || admin: none"
AUTH-017,ROUND-1 (V2 lineage),A,First-login onboarding,Onboarding data persistence,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,BROKEN (data silently discarded),NOT APPLICABLE,present but inert,incomplete,no columns for bio/residence/workplace/avatar,n/a,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,none found,"app/onboarding/page.tsx:22-28,43-48 (fetch(ONBOARDING_URL,{method:""POST""}) with no body); lib/auth/verification-actions.ts:391-401 writes only the timestamp",none,"Wizard collects name, bio, residence, workplace and an avatar File — none is sent or stored; POST has **no body** || admin: none"
