feature,level,ui,api,db,logic,admin,tests,evidence
AdminEmperor,L4_END_TO_END_WIRED,yes,yes GET,yes (read),threshold logic,no,no,AdminEmperor.tsx:370
AdminEliteLeads,L4_END_TO_END_WIRED,yes,yes GET+PATCH,yes,no,no,no,AdminEliteLeads.tsx:144
AdminMatchmaking,L4_END_TO_END_WIRED,yes,yes GET+POST×2,no,matching trigger,no,no,AdminMatchmaking.tsx:138
AdminMembership,L4_END_TO_END_WIRED,yes,yes 14 endpoints,yes,rank/badge/subscription mgmt,no (CRITICAL no auth),no,AdminMembership.tsx:544
AdminActivityLog,L4_END_TO_END_WIRED,yes,yes GET,no,read-only,no,no,AdminActivityLog.tsx:138
AdminAds,L4_END_TO_END_WIRED,yes,yes CRUD+approve/reject,yes,approval workflow,no,no,AdminAds.tsx:1926
AdminAnalytics,L4_END_TO_END_WIRED,yes,yes GET+POST,yes,report generation,no,no,AdminAnalytics.tsx:310
AdminArtisans,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminArtisans.tsx:234
AdminAuctions,L3_PARTIAL_FLOW,yes,yes GET+PATCH,yes,cancel/block only,no role guard,no,AdminAuctions.tsx:325
AdminBlog,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminBlog.tsx:247
AdminCategories,L4_END_TO_END_WIRED,yes,yes CRUD,yes,CRUD,NONE (no auth),no,AdminCategories.tsx:212
AdminChat,L4_END_TO_END_WIRED,yes,yes via service,yes,moderation,NONE (no auth),no,AdminChat.tsx:791
AdminContent,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminContent.tsx:212
AdminDiscounts,L3_PARTIAL_FLOW,yes,yes CRUD,yes,no role guard,token only,no,AdminDiscounts.tsx:406
AdminFreeResources,L3_PARTIAL_FLOW,yes,yes GET+DELETE,yes,delete + localStorage,NONE,no,AdminFreeResources.tsx:196
AdminLicenseKeys,L4_END_TO_END_WIRED,yes,yes CRUD,yes,HWID lifecycle,token only,no,AdminLicenseKeys.tsx:560
AdminLookups,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminLookups.tsx:451
AdminMarketRates,L4_END_TO_END_WIRED,yes,yes GET+PUT,yes,rate editing,admin (soft useEffect),no,AdminMarketRates.tsx:308
AdminModerators,L4_END_TO_END_WIRED,yes,yes CRUD,yes,role management,NONE (no auth),no,AdminModerators.tsx:681
AdminNewsTicker,L4_END_TO_END_WIRED,yes,yes CRUD,yes,ticker CRUD,NONE (no auth),no,AdminNewsTicker.tsx:422
AdminNotifications,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminNotifications.tsx:267
AdminPayments,L4_END_TO_END_WIRED,yes,yes GET+PATCH,yes,confirm/reject,admin role,no,AdminPayments.tsx:330
AdminPlans,L3_PARTIAL_FLOW,yes,yes CRUD,yes,no role guard,token only,no,AdminPlans.tsx:469
AdminProperties,L3_PARTIAL_FLOW,yes,yes GET + localStorage,yes,approve/reject,NONE,no,AdminProperties.tsx:401
AdminRelistMonitoring,L4_END_TO_END_WIRED,yes,yes GET+POST,yes,verify/reject/clear,token only,no,AdminRelistMonitoring.tsx:386
AdminReports,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminReports.tsx:373
AdminSEO,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminSEO.tsx:608
AdminServiceMarket,L4_END_TO_END_WIRED,yes,yes CRUD,yes,category management,NONE,no,AdminServiceMarket.tsx:425
AdminServiceReviews,L4_END_TO_END_WIRED,yes,yes GET+DELETE+PATCH,yes,blacklist,token only,no,AdminServiceReviews.tsx:307
AdminSettings,L1_UI_ONLY,yes,no (localStorage),no,no,NONE,no,AdminSettings.tsx:509
AdminSoftwareLicenses,L4_END_TO_END_WIRED,yes,yes CRUD,yes,license lifecycle,admin role,no,AdminSoftwareLicenses.tsx:205
AdminTenders,L3_PARTIAL_FLOW,yes,yes GET+PATCH,yes,cancel only,token only,no,AdminTenders.tsx:103
